library,day,start_time,end_time
SC   ,tue,09:00:00,20:00:00
SC   ,wed,09:00:00,20:00:00
SC   ,thu,09:00:00,20:00:00
SC   ,fri,09:00:00,17:00:00
SC   ,sat,09:00:00,17:00:00
SC   ,sun,13:30:00,17:30:00
SP   ,tue,12:30:00,20:30:00
SP   ,wed,10:00:00,18:00:00
SP   ,thu,12:30:00,20:30:00
SP   ,fri,10:00:00,18:00:00
SP   ,sat,09:00:00,17:00:00
SI   ,tue,12:30:00,20:30:00
SI   ,wed,10:00:00,18:00:00
SI   ,thu,12:30:00,20:30:00
SI   ,fri,10:00:00,18:00:00
SI   ,sat,09:00:00,17:00:00
SJ   ,tue,12:30:00,20:30:00
SJ   ,wed,10:00:00,18:00:00
SJ   ,thu,12:30:00,20:30:00
SJ   ,fri,10:00:00,18:00:00
SJ   ,sat,09:00:00,17:00:00
SJ   ,sun,13:30:00,17:30:00
SL   ,mon,10:00:00,20:00:00
SL   ,tue,12:30:00,20:30:00
SL   ,wed,10:00:00,18:00:00
SL   ,thu,12:30:00,20:30:00
SL   ,fri,10:00:00,18:00:00
SL   ,sat,09:00:00,17:00:00
ST   ,mon,09:00:00,20:00:00
ST   ,tue,09:00:00,20:00:00
ST   ,wed,09:00:00,20:00:00
ST   ,thu,09:00:00,20:00:00
ST   ,fri,09:00:00,20:00:00
ST   ,sat,09:00:00,17:00:00
ST   ,sun,13:30:00,17:30:00
SW   ,tue,10:00:00,18:00:00
SW   ,wed,13:00:00,20:00:00
SW   ,thu,10:00:00,18:00:00
SW   ,sat,10:00:00,17:00:00
TA   ,tue,12:30:00,20:30:00
TA   ,wed,10:00:00,18:00:00
TA   ,thu,12:30:00,20:30:00
TA   ,fri,10:00:00,18:00:00
TA   ,sat,09:00:00,17:00:00
TH   ,mon,09:00:00,20:00:00
TH   ,tue,09:00:00,20:00:00
TH   ,wed,09:00:00,20:00:00
TH   ,thu,09:00:00,20:00:00
TH   ,fri,09:00:00,20:00:00
TH   ,sat,09:00:00,17:00:00
TH   ,sun,13:30:00,17:30:00
TOD  ,tue,12:30:00,20:30:00
TOD  ,wed,09:00:00,17:00:00
TOD  ,thu,12:30:00,20:30:00
TOD  ,sat,09:00:00,17:00:00
TRL  ,mon,09:00:00,20:00:00
TRL  ,tue,09:00:00,20:00:00
TRL  ,wed,09:00:00,20:00:00
TRL  ,thu,09:00:00,20:00:00
TRL  ,fri,09:00:00,20:00:00
TRL  ,sat,09:00:00,17:00:00
TRL  ,sun,13:30:00,17:30:00
VV   ,tue,12:30:00,20:30:00
VV   ,wed,10:00:00,18:00:00
VV   ,thu,12:30:00,20:30:00
VV   ,fri,10:00:00,18:00:00
VV   ,sat,09:00:00,17:00:00
WE   ,mon,10:00:00,20:00:00
WE   ,tue,12:30:00,20:30:00
WE   ,wed,10:00:00,18:00:00
WE   ,thu,12:30:00,20:30:00
WE   ,fri,10:00:00,18:00:00
WE   ,sat,09:00:00,17:00:00
WE   ,sun,13:30:00,17:30:00
WS   ,mon,09:00:00,20:00:00
WS   ,tue,09:00:00,20:00:00
WS   ,wed,09:00:00,20:00:00
WS   ,thu,09:00:00,20:00:00
WS   ,fri,09:00:00,17:00:00
WS   ,sat,09:00:00,17:00:00
WP   ,tue,10:00:00,18:00:00
WP   ,wed,10:00:00,18:00:00
WP   ,thu,12:30:00,20:30:00
WP   ,fri,10:00:00,18:00:00
WP   ,sat,09:00:00,17:00:00
WY   ,mon,09:00:00,20:00:00
WY   ,tue,09:00:00,20:00:00
WY   ,wed,09:00:00,20:00:00
WY   ,thu,09:00:00,20:00:00
WY   ,fri,09:00:00,17:00:00
WY   ,sat,09:00:00,17:00:00
YW   ,mon,09:00:00,20:00:00
YW   ,tue,09:00:00,20:00:00
YW   ,wed,09:00:00,20:00:00
YW   ,thu,09:00:00,20:00:00
YW   ,fri,09:00:00,20:00:00
YW   ,sat,09:00:00,17:00:00
YW   ,sun,13:30:00,17:30:00
YO   ,mon,09:00:00,20:00:00
YO   ,tue,09:00:00,20:00:00
YO   ,wed,09:00:00,20:00:00
YO   ,thu,09:00:00,20:00:00
YO   ,fri,09:00:00,17:00:00
YO   ,sat,09:00:00,17:00:00
